code,date,big1000,big400,retail,people
8101,20260918,80.45,81.4,11.89,18408.0
8102,20260918,24.43,38.9,16.68,1160.0
8103,20260918,33.79,50.75,32.2,18384.0
8104,20260918,30.38,34.2,50.03,45181.0
8105,20260918,60.24,63.75,25.36,35798.0
8106,20260918,27.88,60.82,11.91,68.0
8107,20260918,44.42,53.92,30.97,31800.0
8108,20260918,0.0,0.0,99.99,13.0
8109,20260918,34.87,54.03,26.42,7097.0
8110,20260918,46.65,49.89,42.92,80094.0
8111,20260918,26.69,36.67,47.82,60051.0
8112,20260918,32.82,37.02,47.98,116665.0
8114,20260918,32.49,46.2,30.14,11702.0
8115,20260918,78.23,86.41,6.08,842.0
8119,20260918,27.54,46.71,26.18,33068.0
8121,20260918,54.34,61.14,25.64,30636.0
8122,20260918,92.23,93.1,2.45,1616.0
8127,20260918,0.0,7.67,41.26,242.0
8130,20260918,59.07,70.92,5.61,297.0
8131,20260918,68.07,70.73,22.07,33334.0
8143,20260918,0.0,0.0,35.49,24.0
8147,20260918,32.52,45.42,27.91,5010.0
8150,20260918,53.66,60.22,32.52,146497.0
8152,20260918,100.0,100.0,0.0,1.0
8155,20260918,35.6,44.9,39.26,16802.0
8157,20260918,100.0,100.0,0.0,1.0
8162,20260918,61.84,74.83,13.51,2580.0
8163,20260918,39.8,44.92,40.98,74770.0
8171,20260918,52.35,61.2,25.12,44643.0
8172,20260918,0.0,0.0,69.94,258.0
8176,20260918,22.18,33.9,40.68,36493.0
8182,20260918,63.78,67.13,26.44,11046.0
8183,20260918,42.44,48.43,36.59,37769.0
8197,20260918,83.38,84.91,6.29,637.0
8201,20260918,45.88,58.2,30.21,12057.0
8204,20260918,0.0,0.0,99.99,4.0
8210,20260918,58.11,65.99,24.46,42382.0
8213,20260918,39.33,50.65,32.09,68580.0
8215,20260918,50.26,53.0,34.89,67677.0
8218,20260918,0.0,0.0,41.62,105.0
8219,20260918,0.0,0.0,99.99,3.0
8221,20260918,0.0,0.0,99.99,2.0
8222,20260918,31.52,36.19,49.56,39654.0
8225,20260918,73.02,79.65,9.09,380.0
8227,20260918,21.08,38.6,43.74,28011.0
8234,20260918,46.67,55.05,32.46,16605.0
8240,20260918,48.06,54.02,32.31,37422.0
8249,20260918,53.5,57.41,33.73,35616.0
8255,20260918,46.76,51.12,35.62,25297.0
8259,20260918,0.0,0.0,71.94,17.0
8261,20260918,38.27,41.94,48.46,76046.0
8264,20260918,0.0,0.0,72.08,496.0
8271,20260918,35.6,41.87,46.28,66373.0
8272,20260918,25.15,38.04,19.25,1654.0
8276,20260918,33.84,48.36,27.35,125.0
8277,20260918,100.0,100.0,0.0,1.0
8279,20260918,52.51,60.22,18.67,2131.0
8281,20260918,34.88,44.49,8.43,415.0
8284,20260918,48.12,64.4,13.3,2293.0
8286,20260918,0.0,0.0,99.98,157.0
8287,20260918,70.24,70.24,25.73,11819.0
8289,20260918,33.61,43.88,37.41,30396.0
8291,20260918,71.89,71.89,20.28,1867.0
8297,20260918,92.95,92.95,3.99,174.0
8298,20260918,81.42,81.42,5.44,385.0
