code,quarter,gross,operating,net
2340.TW,2026Q2,-1.89,-22.14,-21.39
2342.TW,2026Q2,15.26,-4.66,-3.52
2344.TW,2026Q2,61.23,42.34,34.98
2345.TW,2026Q2,19.63,14.72,11.7
2347.TW,2026Q2,3.74,2.49,2.18
2348.TW,2026Q2,26.04,15.57,6.23
2349.TW,2026Q2,17.18,0.65,3.23
2351.TW,2026Q2,20.02,10.82,8.72
2352.TW,2026Q2,16.98,1.29,1.36
2353.TW,2026Q2,11.28,1.64,2.62
2354.TW,2026Q2,4.4,1.29,2.75
2355.TW,2026Q2,12.13,4.6,5.14
2356.TW,2026Q2,4.59,1.78,1.35
2357.TW,2026Q2,16.14,7.05,6.76
2359.TW,2026Q2,20.35,-0.42,37.45
2360.TW,2026Q2,61.48,39.54,36.15
2362.TW,2026Q2,18.77,5.93,20.4
2363.TW,2026Q2,28.42,5.52,4.81
2364.TW,2026Q2,41.63,16.52,18.75
2365.TW,2026Q2,38.85,5.47,11.4
2367.TW,2026Q2,6.5,-6.5,-5.64
2368.TW,2026Q2,34.72,26.62,18.96
2369.TW,2026Q2,8.81,3.21,3.09
2371.TW,2026Q2,16.93,4.56,8.36
2373.TW,2026Q2,45.15,5.2,7.48
2374.TW,2026Q2,24.18,9.83,8.9
2375.TW,2026Q2,18.07,7.44,6.67
2376.TW,2026Q2,10.63,6.23,5.26
2377.TW,2026Q2,15.46,6.74,6.04
2379.TW,2026Q2,48.31,10.89,11.0
2380.TW,2026Q2,29.04,2.51,1.76
2382.TW,2026Q2,4.92,3.1,2.71
2383.TW,2026Q2,32.03,24.72,18.93
2385.TW,2026Q2,14.9,5.03,9.5
2387.TW,2026Q2,11.52,1.59,1.95
2388.TW,2026Q2,22.57,-15.21,2.21
2390.TW,2026Q2,20.2,-7.86,6.32
2392.TW,2026Q2,12.3,1.78,16.35
2393.TW,2026Q2,24.44,8.54,9.55
2395.TW,2026Q2,38.32,19.04,16.82
2397.TW,2026Q2,25.04,6.75,4.85
2399.TW,2026Q2,13.07,-12.22,65.54
2401.TW,2026Q2,48.57,9.83,11.69
2402.TW,2026Q2,13.55,4.36,2.32
2404.TW,2026Q2,23.5,19.79,14.78
2405.TW,2026Q2,43.1,0.44,1.01
2406.TW,2026Q2,15.11,4.92,6.49
2408.TW,2026Q2,75.16,69.08,57.92
2409.TW,2026Q2,12.46,-0.3,0.77
2412.TW,2026Q2,37.73,21.73,18.03
2413.TW,2026Q2,16.97,3.45,16.93
2414.TW,2026Q2,7.1,2.85,2.26
2415.TW,2026Q2,23.0,6.5,3.46
2417.TW,2026Q2,57.65,7.15,7.53
2419.TW,2026Q2,18.67,1.51,1.91
2420.TW,2026Q2,49.14,32.49,30.76
2421.TW,2026Q2,31.45,15.56,12.83
2423.TW,2026Q2,55.75,24.89,21.18
2424.TW,2026Q2,16.58,-76.25,-72.13
2425.TW,2026Q2,7.17,0.61,7.13
2426.TW,2026Q2,21.23,5.85,6.72
2427.TW,2026Q2,24.1,5.07,4.62
2428.TW,2026Q2,35.98,22.64,20.4
2429.TW,2026Q2,4.58,-30.07,-32.71
2430.TW,2026Q2,14.59,0.38,0.12
2431.TW,2026Q2,-1.07,-40.02,-29.37
2432.TW,2026Q2,10.62,1.72,2.26
2433.TW,2026Q2,35.71,14.23,11.83
2434.TW,2026Q2,-42.39,-151.42,-90.09
2436.TW,2026Q2,32.33,11.77,27.08
2438.TW,2026Q2,9.91,-24.9,-28.41
2439.TW,2026Q2,10.93,0.98,2.98
2440.TW,2026Q2,4.67,1.82,1.07
2441.TW,2026Q2,23.95,20.06,16.91
2442.TW,2026Q2,26.26,19.31,17.18
2444.TW,2026Q2,-5.17,-31.69,-31.73
2449.TW,2026Q2,39.61,26.25,22.4
2450.TW,2026Q2,9.9,0.89,1.0
2451.TW,2026Q2,76.76,73.7,61.71
2453.TW,2026Q2,24.86,5.2,4.45
2454.TW,2026Q2,46.25,15.19,16.25
2455.TW,2026Q2,38.35,23.4,21.23
2457.TW,2026Q2,22.56,-5.9,-6.44
2458.TW,2026Q2,47.53,22.95,23.67
2459.TW,2026Q2,30.04,15.75,12.92
2460.TW,2026Q2,10.61,2.92,1.82
2461.TW,2026Q2,27.05,7.35,3.44
2462.TW,2026Q2,9.59,-1.68,-1.34
2464.TW,2026Q2,20.67,4.36,3.36
2465.TW,2026Q2,11.66,6.51,6.43
2466.TW,2026Q2,20.77,-12.17,2.18
2467.TW,2026Q2,49.08,26.06,22.82
2468.TW,2026Q2,10.8,3.64,3.31
2471.TW,2026Q2,38.09,11.34,15.92
2472.TW,2026Q2,30.87,20.37,14.5
2474.TW,2026Q2,28.83,4.51,45.64
2476.TW,2026Q2,30.8,19.32,15.17
2477.TW,2026Q2,23.73,0.92,1.77
2478.TW,2026Q2,27.02,15.93,13.37
2480.TW,2026Q2,22.89,12.11,10.7
2481.TW,2026Q2,33.0,9.31,11.33
2482.TW,2026Q2,40.73,-26.93,-15.35
